,Unnamed: 0,title,location1,location2,location3,area,orientation,room_type,price,url
33653,33653,整租·河滨小区 2室1厅 南,浦东,川沙,河滨小区,47,南,2室1厅1卫,3300,/zufang/SH1705785321846734848.html
33654,33654,整租·海尚康庭 2室1厅 南,浦东,康桥,海尚康庭,74,南,2室1厅1卫,4700,/zufang/SH1713776169377071104.html
33655,33655,整租·金桥路226弄 2室1厅 南,浦东,金杨,金桥路226弄,52,南,2室1厅1卫,4600,/zufang/SH1714182421034827776.html
33656,33656,整租·中虹家园 2室1厅 南,浦东,曹路,中虹家园,70,南,2室1厅1卫,4800,/zufang/SH1714263394573352960.html
33657,33657,整租·莱阳北小区 2室1厅 南,浦东,金桥,莱阳北小区,57,南,2室1厅1卫,4800,/zufang/SH1714565226055073792.html
33658,33658,整租·颐和泊雅轩 2室1厅 南,浦东,泥城镇,颐和泊雅轩,86,南,2室1厅1卫,3000,/zufang/SH1714913247418646528.html
33659,33659,整租·东方听潮豪园 2室1厅 南,浦东,惠南,东方听潮豪园,89,南,2室1厅1卫,3600,/zufang/SH1714949217476149248.html
33660,33660,整租·印象春城 2室2厅 南/北,浦东,周浦,印象春城,89,南 北,2室2厅1卫,5000,/zufang/SH1715246485903245312.html
33661,33661,整租·临港新世界休闲广场 2室1厅 东/西,浦东,临港新城,临港新世界休闲广场,59,东 西,2室1厅1卫,3300,/zufang/SH1716787127825465344.html
33662,33662,整租·东五小区(浦东) 2室1厅 南,浦东,金桥,东五小区(浦东),76,南,2室1厅1卫,4800,/zufang/SH1700698186760323072.html
33663,33663,整租·五莲一小区 2室1厅 南,浦东,金桥,五莲一小区,70,南,2室1厅1卫,4550,/zufang/SH1713563149833076736.html
33665,33665,整租·绿海家园 2室1厅 南/北,浦东,川沙,绿海家园,66,南 北,2室1厅1卫,4300,/zufang/SH1711939525992775680.html
33666,33666,整租·海洲桃花园二期 2室2厅 南/北,浦东,航头,海洲桃花园二期,87,南 北,2室2厅1卫,4200,/zufang/SH1715733753025789952.html
33667,33667,整租·东升家园(三期) 2室2厅 南/北,浦东,航头,东升家园(三期),84,南 北,2室2厅1卫,3000,/zufang/SH1694279903043649536.html
33668,33668,整租·桃源二村 2室2厅 南,浦东,惠南,桃源二村,83,南,2室2厅1卫,3300,/zufang/SH1714186618044153856.html
33669,33669,整租·康桥宝邸 2室1厅 南,浦东,康桥,康桥宝邸,74,南,2室1厅1卫,4000,/zufang/SH1697514118438715392.html
33670,33670,整租·康桥新苑 2室2厅 南,浦东,康桥,康桥新苑,95,南,2室2厅1卫,4800,/zufang/SH1702890824326447104.html
33671,33671,整租·沪南船舶小区 2室1厅 南,浦东,金桥,沪南船舶小区,60,南,2室1厅1卫,4500,/zufang/SH1702908797313351680.html
33672,33672,整租·康桥宝邸 2室2厅 南/北,浦东,康桥,康桥宝邸,80,南 北,2室2厅1卫,5000,/zufang/SH1714672033083686912.html
33673,33673,整租·繁荣安居 2室1厅 南,浦东,周浦,繁荣安居,83,南,2室1厅1卫,4500,/zufang/SH1706161475501948928.html
33674,33674,整租·滴水湖馨苑二期 2室2厅 南/北,浦东,临港新城,滴水湖馨苑二期,120,南 北,2室2厅1卫,4600,/zufang/SH1705518120917008384.html
33675,33675,整租·华昌小区 2室2厅 南,浦东,唐镇,华昌小区,83,南,2室2厅1卫,5000,/zufang/SH1710256762323468288.html
33676,33676,整租·德州七村 2室0厅 南,浦东,世博,德州七村,43,南,2室0厅1卫,4800,/zufang/SH1701137259782209536.html
33678,33678,整租·船舶新村 2室1厅 南/北,浦东,金桥,船舶新村,45,南 北,2室1厅1卫,4300,/zufang/SH1697136738377400320.html
33679,33679,整租·临河小区 2室1厅 南,浦东,川沙,临河小区,64,南,2室1厅1卫,4000,/zufang/SH1697234389529788416.html
33680,33680,整租·由由三村 2室1厅 南,浦东,北蔡,由由三村,43,南,2室1厅1卫,4600,/zufang/SH1702660427441242112.html
33682,33682,整租·凌川佳苑 2室1厅 南/北,浦东,川沙,凌川佳苑,78,南 北,2室1厅1卫,4600,/zufang/SH1699348025815597056.html
